802, 177
257, 709
541, 504
660, 148
498, 624
225, 68
409, 401
462, 361
874, 595
574, 248
234, 452
896, 369
666, 429
853, 711
743, 318
847, 188
897, 545
401, 456
604, 790
415, 413
833, 454
207, 992
354, 242
837, 669
917, 580
385, 412
133, 152
581, 281
344, 799
469, 786
974, 87
984, 668
124, 224
14, 738
151, 80
534, 429
774, 985
579, 741
762, 480
60, 417
181, 680
184, 445
78, 314
466, 765
903, 423
862, 287
956, 229
453, 847
585, 432
513, 468
249, 88
425, 399
493, 375
855, 5
774, 255
935, 268
713, 307
973, 119
236, 144
567, 439
79, 491
721, 429
628, 387
819, 174
994, 565
654, 684
436, 244
619, 431
788, 929
184, 827
95, 562
869, 472
943, 160
304, 195
986, 532
23, 871
653, 65
452, 744
271, 633
199, 624
660, 265
861, 205
988, 96
377, 833
660, 777
339, 562
386, 107
267, 561
756, 329
213, 572
795, 742
160, 237
333, 800
434, 964
588, 604
222, 985
542, 601
697, 83
268, 530
307, 75
989, 280
387, 999
912, 727
56, 655
227, 668
762, 270
859, 374
175, 922
239, 192
149, 961
946, 827
780, 371
806, 840
370, 478
905, 427
707, 678
29, 246
973, 95
750, 941
609, 381
3, 329
55, 723
998, 862
407, 582
543, 237
416, 556
279, 841
681, 197
27, 437
864, 52
82, 932
530, 572
19, 111
52, 503
884, 121
802, 13
88, 888
102, 857
440, 86
675, 509
65, 335
177, 92
289, 696
134, 210
614, 316
600, 998
922, 696
159, 130
633, 941
414, 563
928, 869
109, 216
426, 17
455, 212
721, 866
553, 131
223, 139
835, 730
293, 864
180, 969
320, 907
604, 780
262, 594
888, 115
679, 895
116, 302
519, 959
976, 226
438, 945
163, 784
267, 159
298, 716
799, 490
706, 486
455, 92
999, 886
18, 127
722, 955
71, 280
527, 610
264, 102
61, 643
869, 783
80, 390
174, 659
819, 595
312, 441
283, 469
955, 463
907, 989
227, 763
242, 906
214, 597
229, 964
926, 637
91, 756
751, 191
326, 152
894, 973
632, 407
2, 420
861, 803
625, 666
481, 496
837, 580
695, 388
647, 416
13, 938
254, 861
850, 594
702, 181
372, 941
445, 454
779, 698
457, 340
760, 411
567, 812
478, 974
822, 192
124, 312
700, 660
428, 820
110, 347
560, 794
388, 364
897, 762
703, 91
897, 269
320, 501
841, 676
439, 129
941, 953
927, 6
198, 772
84, 750
762, 323
495, 136
836, 542
336, 957
321, 396
511, 725
168, 571
192, 566
67, 65
741, 512
994, 908
862, 180
539, 935
707, 141
243, 737
412, 143
280, 357
900, 259
216, 116
864, 236
313, 890
461, 375
294, 481
898, 653
518, 361
622, 991
524, 512
447, 836
977, 63
152, 507
2, 573
930, 565
824, 282
750, 830
419, 393
283, 615
342, 84
918, 744
749, 636
350, 816
808, 267
131, 972
808, 684
747, 931
438, 785
710, 899
816, 792
75, 641
823, 641
34, 825
792, 594
